market_date_sec,tradingDay,time,product,symbol,open,high,low,close,last,volume,oi,askPrice1,bidPrice1,askVolume1,bidVolume1,limitUp,limitDown,factor,UTC
2022-05-19 21:00:00,2022-05-20,2022-05-19 21:00:00.647,J,Fut0_J2209,3334.0,3346.5,3334.0,0.0,3335.0,155,29657,3341.5,3334.5,5,4,3834.0,2834.0,1.0,2022-05-19 08:00:00
2022-05-19 21:00:01,2022-05-20,2022-05-19 21:00:01.646,J,Fut0_J2209,3334.0,3346.5,3334.0,0.0,3339.0,241,29644,3339.0,3335.5,3,1,3834.0,2834.0,1.0,2022-05-19 08:00:01
2022-05-19 21:00:02,2022-05-20,2022-05-19 21:00:02.641,J,Fut0_J2209,3334.0,3346.5,3334.0,0.0,3338.0,290,29631,3338.0,3336.0,17,10,3834.0,2834.0,1.0,2022-05-19 08:00:02
2022-05-19 21:00:03,2022-05-20,2022-05-19 21:00:03.628,J,Fut0_J2209,3334.0,3346.5,3334.0,0.0,3337.5,346,29640,3340.0,3338.5,4,1,3834.0,2834.0,1.0,2022-05-19 08:00:03
2022-05-19 21:00:04,2022-05-20,2022-05-19 21:00:04.630,J,Fut0_J2209,3334.0,3346.5,3334.0,0.0,3339.0,368,29648,3341.5,3339.0,1,4,3834.0,2834.0,1.0,2022-05-19 08:00:04
2022-05-19 21:00:05,2022-05-20,2022-05-19 21:00:05.643,J,Fut0_J2209,3334.0,3346.5,3334.0,0.0,3338.0,401,29642,3340.0,3338.0,5,2,3834.0,2834.0,1.0,2022-05-19 08:00:05
2022-05-19 21:00:06,2022-05-20,2022-05-19 21:00:06.614,J,Fut0_J2209,3334.0,3348.0,3334.0,0.0,3348.0,434,29622,3348.0,3344.0,9,5,3834.0,2834.0,1.0,2022-05-19 08:00:06
2022-05-19 21:00:07,2022-05-20,2022-05-19 21:00:07.515,J,Fut0_J2209,3334.0,3348.0,3334.0,0.0,3346.0,444,29618,3347.0,3344.5,3,1,3834.0,2834.0,1.0,2022-05-19 08:00:07
2022-05-19 21:00:08,2022-05-20,2022-05-19 21:00:08.600,J,Fut0_J2209,3334.0,3348.0,3334.0,0.0,3347.0,453,29622,3346.5,3344.0,4,8,3834.0,2834.0,1.0,2022-05-19 08:00:08
2022-05-19 21:00:09,2022-05-20,2022-05-19 21:00:09.634,J,Fut0_J2209,3334.0,3348.0,3334.0,0.0,3348.0,505,29619,3345.5,3343.0,4,1,3834.0,2834.0,1.0,2022-05-19 08:00:09
2022-05-19 21:00:10,2022-05-20,2022-05-19 21:00:10.647,J,Fut0_J2209,3334.0,3348.0,3334.0,0.0,3347.0,539,29620,3348.5,3348.0,1,2,3834.0,2834.0,1.0,2022-05-19 08:00:10
2022-05-19 21:00:11,2022-05-20,2022-05-19 21:00:11.652,J,Fut0_J2209,3334.0,3350.0,3334.0,0.0,3350.0,569,29620,3350.0,3347.5,15,1,3834.0,2834.0,1.0,2022-05-19 08:00:11
2022-05-19 21:00:12,2022-05-20,2022-05-19 21:00:12.482,J,Fut0_J2209,3334.0,3351.0,3334.0,0.0,3349.0,619,29613,3352.0,3349.0,1,1,3834.0,2834.0,1.0,2022-05-19 08:00:12
2022-05-19 21:00:13,2022-05-20,2022-05-19 21:00:13.639,J,Fut0_J2209,3334.0,3356.0,3334.0,0.0,3356.0,633,29604,3356.0,3350.5,17,1,3834.0,2834.0,1.0,2022-05-19 08:00:13
2022-05-19 21:00:14,2022-05-20,2022-05-19 21:00:14.619,J,Fut0_J2209,3334.0,3356.0,3334.0,0.0,3355.5,658,29592,3353.5,3350.5,1,2,3834.0,2834.0,1.0,2022-05-19 08:00:14
2022-05-19 21:00:15,2022-05-20,2022-05-19 21:00:15.625,J,Fut0_J2209,3334.0,3356.0,3334.0,0.0,3351.0,673,29596,3353.0,3351.0,1,2,3834.0,2834.0,1.0,2022-05-19 08:00:15
2022-05-19 21:00:16,2022-05-20,2022-05-19 21:00:16.542,J,Fut0_J2209,3334.0,3356.0,3334.0,0.0,3352.5,693,29600,3353.5,3353.0,1,3,3834.0,2834.0,1.0,2022-05-19 08:00:16
2022-05-19 21:00:17,2022-05-20,2022-05-19 21:00:17.582,J,Fut0_J2209,3334.0,3356.0,3334.0,0.0,3353.0,711,29596,3355.0,3353.0,1,1,3834.0,2834.0,1.0,2022-05-19 08:00:17
2022-05-19 21:00:18,2022-05-20,2022-05-19 21:00:18.651,J,Fut0_J2209,3334.0,3356.5,3334.0,0.0,3356.5,758,29587,3358.5,3357.5,3,51,3834.0,2834.0,1.0,2022-05-19 08:00:18
2022-05-19 21:00:19,2022-05-20,2022-05-19 21:00:19.593,J,Fut0_J2209,3334.0,3358.5,3334.0,0.0,3357.5,781,29575,3358.0,3357.5,2,35,3834.0,2834.0,1.0,2022-05-19 08:00:19
2022-05-19 21:00:20,2022-05-20,2022-05-19 21:00:20.645,J,Fut0_J2209,3334.0,3359.0,3334.0,0.0,3358.5,797,29571,3359.5,3358.5,9,3,3834.0,2834.0,1.0,2022-05-19 08:00:20
2022-05-19 21:00:21,2022-05-20,2022-05-19 21:00:21.630,J,Fut0_J2209,3334.0,3359.5,3334.0,0.0,3357.5,819,29567,3358.5,3357.5,1,18,3834.0,2834.0,1.0,2022-05-19 08:00:21
