last,UTC
3353.5,2022-05-19 08:00:00
3345.0,2022-05-19 08:01:00
3341.5,2022-05-19 08:02:00
3343.0,2022-05-19 08:03:00
3328.0,2022-05-19 08:04:00
3336.0,2022-05-19 08:05:00
3321.5,2022-05-19 08:06:00
3319.5,2022-05-19 08:07:00
3323.5,2022-05-19 08:08:00
3327.0,2022-05-19 08:09:00
3328.0,2022-05-19 08:10:00
3326.5,2022-05-19 08:11:00
3334.0,2022-05-19 08:12:00
3331.0,2022-05-19 08:13:00
3329.5,2022-05-19 08:14:00
3329.0,2022-05-19 08:15:00
3329.0,2022-05-19 08:16:00
3330.5,2022-05-19 08:17:00
3338.0,2022-05-19 08:18:00
3353.0,2022-05-19 08:19:00
3357.0,2022-05-19 08:20:00
3358.5,2022-05-19 08:21:00
3356.5,2022-05-19 08:22:00
3365.5,2022-05-19 08:23:00
3361.5,2022-05-19 08:24:00
3359.0,2022-05-19 08:25:00
3359.5,2022-05-19 08:26:00
3365.5,2022-05-19 08:27:00
3361.0,2022-05-19 08:28:00
3361.5,2022-05-19 08:29:00
3360.5,2022-05-19 08:30:00
3363.0,2022-05-19 08:31:00
3364.0,2022-05-19 08:32:00
3369.0,2022-05-19 08:33:00
3366.0,2022-05-19 08:34:00
3365.0,2022-05-19 08:35:00
3369.0,2022-05-19 08:36:00
3371.0,2022-05-19 08:37:00
3370.0,2022-05-19 08:38:00
3367.5,2022-05-19 08:39:00
3369.5,2022-05-19 08:40:00
3370.0,2022-05-19 08:41:00
3369.5,2022-05-19 08:42:00
3366.5,2022-05-19 08:43:00
3370.5,2022-05-19 08:44:00
3367.5,2022-05-19 08:45:00
3365.5,2022-05-19 08:46:00
3366.0,2022-05-19 08:47:00
3364.5,2022-05-19 08:48:00
3364.5,2022-05-19 08:49:00
3361.5,2022-05-19 08:50:00
3361.5,2022-05-19 08:51:00
3362.5,2022-05-19 08:52:00
3360.5,2022-05-19 08:53:00
3361.0,2022-05-19 08:54:00
3364.5,2022-05-19 08:55:00
3364.5,2022-05-19 08:56:00
3363.5,2022-05-19 08:57:00
3360.0,2022-05-19 08:58:00
3358.5,2022-05-19 08:59:00
3356.0,2022-05-19 09:00:00
3358.0,2022-05-19 09:01:00
3357.0,2022-05-19 09:02:00
3359.5,2022-05-19 09:03:00
3359.5,2022-05-19 09:04:00
3359.5,2022-05-19 09:05:00
3353.5,2022-05-19 09:06:00
3355.0,2022-05-19 09:07:00
3352.0,2022-05-19 09:08:00
3351.5,2022-05-19 09:09:00
3353.5,2022-05-19 09:10:00
3359.5,2022-05-19 09:11:00
3360.5,2022-05-19 09:12:00
3360.0,2022-05-19 09:13:00
3362.5,2022-05-19 09:14:00
3362.0,2022-05-19 09:15:00
3362.5,2022-05-19 09:16:00
3365.0,2022-05-19 09:17:00
3365.5,2022-05-19 09:18:00
3364.5,2022-05-19 09:19:00
3365.0,2022-05-19 09:20:00
3365.0,2022-05-19 09:21:00
3366.0,2022-05-19 09:22:00
3363.5,2022-05-19 09:23:00
3363.0,2022-05-19 09:24:00
3359.5,2022-05-19 09:25:00
3359.0,2022-05-19 09:26:00
3359.5,2022-05-19 09:27:00
3360.5,2022-05-19 09:28:00
3362.5,2022-05-19 09:29:00
3364.0,2022-05-19 09:30:00
3363.0,2022-05-19 09:31:00
3364.5,2022-05-19 09:32:00
3364.0,2022-05-19 09:33:00
3363.0,2022-05-19 09:34:00
3366.0,2022-05-19 09:35:00
3370.0,2022-05-19 09:36:00
3368.0,2022-05-19 09:37:00
3368.5,2022-05-19 09:38:00
3365.5,2022-05-19 09:39:00
3366.0,2022-05-19 09:40:00
3368.0,2022-05-19 09:41:00
3365.0,2022-05-19 09:42:00
3367.5,2022-05-19 09:43:00
3373.0,2022-05-19 09:44:00
3369.5,2022-05-19 09:45:00
3367.5,2022-05-19 09:46:00
3367.5,2022-05-19 09:47:00
3365.0,2022-05-19 09:48:00
3365.5,2022-05-19 09:49:00
3364.5,2022-05-19 09:50:00
3365.5,2022-05-19 09:51:00
3365.0,2022-05-19 09:52:00
3366.5,2022-05-19 09:53:00
