UTC,open,last,volume,askPrice1,bidPrice1
2022-05-19 08:00:00.147,3334.0,3335.0,87,3342.0,3335.0
2022-05-19 08:00:00.647,3334.0,3335.0,155,3341.5,3334.5
2022-05-19 08:00:01.124,3334.0,3335.5,196,3340.0,3335.0
2022-05-19 08:00:01.646,3334.0,3339.0,241,3339.0,3335.5
2022-05-19 08:00:02.130,3334.0,3338.0,261,3338.5,3336.0
2022-05-19 08:00:02.641,3334.0,3338.0,290,3338.0,3336.0
2022-05-19 08:00:03.139,3334.0,3337.0,317,3338.0,3337.0
2022-05-19 08:00:03.628,3334.0,3337.5,346,3340.0,3338.5
2022-05-19 08:00:04.125,3334.0,3338.0,354,3340.0,3339.0
2022-05-19 08:00:04.630,3334.0,3339.0,368,3341.5,3339.0
2022-05-19 08:00:05.144,3334.0,3335.0,393,3342.0,3335.0
2022-05-19 08:00:05.643,3334.0,3338.0,401,3340.0,3338.0
2022-05-19 08:00:06.136,3334.0,3342.5,420,3347.0,3342.5
2022-05-19 08:00:06.614,3334.0,3348.0,434,3348.0,3344.0
2022-05-19 08:00:07.022,3334.0,3347.5,441,3346.5,3346.0
2022-05-19 08:00:07.515,3334.0,3346.0,444,3347.0,3344.5
2022-05-19 08:00:08.120,3334.0,3346.5,451,3347.0,3343.5
2022-05-19 08:00:08.600,3334.0,3347.0,453,3346.5,3344.0
2022-05-19 08:00:09.145,3334.0,3347.0,483,3347.5,3347.0
2022-05-19 08:00:09.634,3334.0,3348.0,505,3345.5,3343.0
2022-05-19 08:00:10.145,3334.0,3348.0,523,3348.0,3346.5
2022-05-19 08:00:10.647,3334.0,3347.0,539,3348.5,3348.0
2022-05-19 08:00:11.125,3334.0,3347.0,548,3347.5,3347.0
2022-05-19 08:00:11.652,3334.0,3350.0,569,3350.0,3347.5
2022-05-19 08:00:12.143,3334.0,3348.0,590,3350.0,3348.5
2022-05-19 08:00:12.482,3334.0,3349.0,619,3352.0,3349.0
2022-05-19 08:00:13.118,3334.0,3356.0,626,3356.0,3351.5
2022-05-19 08:00:13.639,3334.0,3356.0,633,3356.0,3350.5
2022-05-19 08:00:14.129,3334.0,3351.0,647,3354.0,3350.5
2022-05-19 08:00:14.619,3334.0,3355.5,658,3353.5,3350.5
2022-05-19 08:00:15.135,3334.0,3353.0,667,3354.0,3350.5
2022-05-19 08:00:15.625,3334.0,3351.0,673,3353.0,3351.0
2022-05-19 08:00:16.140,3334.0,3355.5,690,3356.0,3352.5
2022-05-19 08:00:16.542,3334.0,3352.5,693,3353.5,3353.0
2022-05-19 08:00:17.084,3334.0,3355.0,708,3355.0,3353.0
2022-05-19 08:00:17.582,3334.0,3353.0,711,3355.0,3353.0
2022-05-19 08:00:18.126,3334.0,3353.0,715,3354.0,3351.0
2022-05-19 08:00:18.651,3334.0,3356.5,758,3358.5,3357.5
2022-05-19 08:00:19.139,3334.0,3357.5,770,3358.0,3357.5
2022-05-19 08:00:19.593,3334.0,3357.5,781,3358.0,3357.5
2022-05-19 08:00:20.100,3334.0,3357.5,791,3359.0,3357.5
2022-05-19 08:00:20.645,3334.0,3358.5,797,3359.5,3358.5
2022-05-19 08:00:21.153,3334.0,3359.5,810,3359.5,3357.5
2022-05-19 08:00:21.630,3334.0,3357.5,819,3358.5,3357.5
2022-05-19 08:00:22.148,3334.0,3358.5,839,3358.5,3357.5
2022-05-19 08:00:22.653,3334.0,3357.5,848,3357.5,3355.0
2022-05-19 08:00:23.146,3334.0,3355.0,860,3355.0,3353.5
2022-05-19 08:00:23.647,3334.0,3357.5,865,3357.0,3355.0
2022-05-19 08:00:24.145,3334.0,3355.0,867,3356.0,3354.5
2022-05-19 08:00:24.620,3334.0,3355.0,867,3355.5,3353.5
2022-05-19 08:00:25.150,3334.0,3355.5,870,3355.0,3354.5
2022-05-19 08:00:25.652,3334.0,3354.5,875,3354.5,3353.5
2022-05-19 08:00:26.107,3334.0,3353.5,878,3354.0,3353.5
2022-05-19 08:00:26.538,3334.0,3353.5,880,3353.5,3353.0
2022-05-19 08:00:27.143,3334.0,3352.5,883,3353.0,3351.5
2022-05-19 08:00:27.643,3334.0,3353.0,886,3353.0,3351.0
2022-05-19 08:00:28.142,3334.0,3353.0,893,3353.0,3351.0
2022-05-19 08:00:28.642,3334.0,3351.5,899,3351.5,3351.0
2022-05-19 08:00:29.020,3334.0,3353.0,906,3353.0,3352.0
2022-05-19 08:00:29.587,3334.0,3353.0,912,3353.5,3353.0
2022-05-19 08:00:30.077,3334.0,3353.0,922,3354.0,3353.0
2022-05-19 08:00:30.637,3334.0,3353.5,928,3354.0,3353.0
2022-05-19 08:00:31.044,3334.0,3353.0,935,3353.5,3353.0
2022-05-19 08:00:31.651,3334.0,3353.5,950,3353.5,3351.5
2022-05-19 08:00:32.046,3334.0,3353.5,950,3353.0,3351.5
2022-05-19 08:00:32.480,3334.0,3353.5,955,3354.0,3353.5
2022-05-19 08:00:33.128,3334.0,3351.0,959,3353.5,3351.0
2022-05-19 08:00:33.559,3334.0,3351.5,961,3351.5,3350.0
2022-05-19 08:00:33.848,3334.0,3351.5,961,3351.0,3350.0
2022-05-19 08:00:34.595,3334.0,3350.0,965,3353.0,3350.0
2022-05-19 08:00:35.154,3334.0,3352.5,970,3352.5,3350.0
2022-05-19 08:00:35.637,3334.0,3351.5,971,3352.0,3350.5
2022-05-19 08:00:36.010,3334.0,3351.5,975,3352.0,3350.0
2022-05-19 08:00:36.616,3334.0,3352.0,977,3353.0,3351.0
2022-05-19 08:00:36.979,3334.0,3354.0,988,3354.0,3353.5
2022-05-19 08:00:37.623,3334.0,3354.5,994,3355.0,3354.5
2022-05-19 08:00:38.147,3334.0,3355.0,1003,3355.5,3355.0
2022-05-19 08:00:38.594,3334.0,3355.5,1004,3355.0,3354.5
2022-05-19 08:00:39.124,3334.0,3354.0,1007,3355.0,3353.5
2022-05-19 08:00:39.542,3334.0,3353.5,1012,3355.0,3353.5
2022-05-19 08:00:40.081,3334.0,3353.5,1021,3355.0,3353.5
2022-05-19 08:00:40.641,3334.0,3353.5,1021,3354.5,3353.5
2022-05-19 08:00:41.126,3334.0,3353.5,1030,3356.0,3353.5
2022-05-19 08:00:41.586,3334.0,3353.5,1032,3355.0,3353.5
2022-05-19 08:00:42.141,3334.0,3354.5,1039,3355.0,3353.5
2022-05-19 08:00:42.634,3334.0,3353.5,1044,3355.0,3353.5
2022-05-19 08:00:43.134,3334.0,3353.5,1044,3354.5,3354.0
2022-05-19 08:00:43.395,3334.0,3354.5,1046,3355.0,3353.5
2022-05-19 08:00:44.109,3334.0,3356.0,1053,3356.0,3355.0
2022-05-19 08:00:44.575,3334.0,3355.0,1054,3355.0,3354.0
2022-05-19 08:00:45.152,3334.0,3353.5,1057,3354.5,3353.5
2022-05-19 08:00:45.537,3334.0,3354.0,1062,3354.0,3353.5
2022-05-19 08:00:46.152,3334.0,3353.0,1067,3353.0,3352.0
2022-05-19 08:00:46.593,3334.0,3351.5,1069,3352.0,3350.5
2022-05-19 08:00:47.124,3334.0,3352.0,1070,3352.5,3350.5
2022-05-19 08:00:47.597,3334.0,3350.5,1072,3351.5,3350.0
2022-05-19 08:00:48.120,3334.0,3351.5,1074,3352.0,3351.5
2022-05-19 08:00:48.581,3334.0,3351.5,1079,3350.5,3350.0
2022-05-19 08:00:48.920,3334.0,3350.5,1082,3352.0,3350.0
2022-05-19 08:00:49.427,3334.0,3350.5,1082,3351.5,3350.0
2022-05-19 08:00:50.146,3334.0,3350.0,1083,3351.5,3350.0
2022-05-19 08:00:50.488,3334.0,3351.5,1084,3351.5,3350.0
2022-05-19 08:00:51.089,3334.0,3350.5,1086,3351.5,3350.5
2022-05-19 08:00:51.597,3334.0,3351.5,1088,3352.0,3351.0
2022-05-19 08:00:52.009,3334.0,3351.5,1088,3352.0,3351.5
2022-05-19 08:00:52.603,3334.0,3351.5,1097,3352.0,3351.5
2022-05-19 08:00:53.066,3334.0,3352.0,1100,3353.5,3351.5
2022-05-19 08:00:53.654,3334.0,3352.0,1101,3353.5,3351.5
2022-05-19 08:00:54.126,3334.0,3352.0,1110,3353.5,3352.0
2022-05-19 08:00:54.647,3334.0,3350.5,1151,3353.5,3352.5
2022-05-19 08:00:55.127,3334.0,3352.5,1156,3354.0,3353.5
2022-05-19 08:00:55.527,3334.0,3354.0,1160,3354.5,3354.0
2022-05-19 08:00:55.945,3334.0,3354.5,1162,3355.0,3354.0
2022-05-19 08:00:56.572,3334.0,3354.5,1162,3354.5,3354.0
2022-05-19 08:00:57.132,3334.0,3354.0,1164,3354.5,3353.5
2022-05-19 08:00:57.440,3334.0,3354.5,1166,3354.0,3353.5
2022-05-19 08:00:58.056,3334.0,3354.0,1167,3354.5,3354.0
2022-05-19 08:00:58.626,3334.0,3354.0,1168,3354.5,3353.5
2022-05-19 08:00:59.476,3334.0,3353.5,1172,3354.0,3350.5
2022-05-19 08:01:00.030,3334.0,3354.5,1177,3354.5,3352.0
2022-05-19 08:01:00.647,3334.0,3352.0,1184,3353.5,3350.5
2022-05-19 08:01:01.013,3334.0,3353.0,1189,3353.0,3352.0
2022-05-19 08:01:01.621,3334.0,3352.5,1190,3352.5,3351.5
2022-05-19 08:01:02.038,3334.0,3352.5,1190,3352.5,3352.0
2022-05-19 08:01:02.644,3334.0,3350.5,1196,3351.5,3350.5
2022-05-19 08:01:03.105,3334.0,3353.0,1206,3353.5,3351.0
2022-05-19 08:01:03.639,3334.0,3353.0,1208,3353.5,3353.0
2022-05-19 08:01:04.088,3334.0,3353.0,1209,3353.0,3350.5
2022-05-19 08:01:04.433,3334.0,3353.0,1209,3353.0,3351.0
2022-05-19 08:01:05.151,3334.0,3351.0,1212,3353.0,3351.0
2022-05-19 08:01:05.610,3334.0,3353.0,1213,3353.0,3352.5
2022-05-19 08:01:06.151,3334.0,3353.0,1217,3353.0,3352.5
2022-05-19 08:01:06.584,3334.0,3352.5,1220,3352.5,3351.5
2022-05-19 08:01:07.053,3334.0,3352.5,1220,3352.5,3351.0
2022-05-19 08:01:07.549,3334.0,3352.5,1251,3353.0,3352.0
2022-05-19 08:01:08.040,3334.0,3351.5,1262,3354.0,3351.5
2022-05-19 08:01:08.520,3334.0,3352.0,1263,3353.5,3351.5
2022-05-19 08:01:08.988,3334.0,3352.0,1263,3353.5,3351.0
2022-05-19 08:01:09.433,3334.0,3353.5,1264,3353.5,3352.5
2022-05-19 08:01:10.065,3334.0,3352.0,1265,3353.5,3351.5
2022-05-19 08:01:10.556,3334.0,3352.0,1265,3351.5,3351.0
2022-05-19 08:01:11.149,3334.0,3351.5,1267,3352.5,3350.5
2022-05-19 08:01:11.604,3334.0,3352.5,1268,3353.5,3351.0
2022-05-19 08:01:12.145,3334.0,3351.0,1272,3351.0,3350.5
2022-05-19 08:01:12.646,3334.0,3351.0,1276,3352.0,3350.5
2022-05-19 08:01:13.020,3334.0,3351.0,1278,3352.0,3350.5
2022-05-19 08:01:14.016,3334.0,3350.5,1279,3351.0,3350.5
2022-05-19 08:01:14.443,3334.0,3350.0,1282,3351.0,3350.0
2022-05-19 08:01:15.124,3334.0,3350.0,1292,3347.5,3347.0
2022-05-19 08:01:15.582,3334.0,3351.0,1298,3352.0,3351.0
2022-05-19 08:01:16.149,3334.0,3351.0,1306,3350.5,3349.5
2022-05-19 08:01:16.633,3334.0,3351.0,1306,3350.5,3349.5
2022-05-19 08:01:17.016,3334.0,3350.5,1307,3350.5,3349.5
2022-05-19 08:01:17.300,3334.0,3350.5,1307,3350.5,3349.5
2022-05-19 08:01:18.583,3334.0,3350.5,1311,3350.5,3349.5
2022-05-19 08:01:18.827,3334.0,3349.5,1312,3350.5,3349.5
2022-05-19 08:01:19.513,3334.0,3350.5,1315,3350.0,3349.5
2022-05-19 08:01:20.022,3334.0,3349.5,1316,3350.0,3347.5
2022-05-19 08:01:20.615,3334.0,3349.5,1317,3349.5,3349.0
2022-05-19 08:01:21.120,3334.0,3349.0,1323,3350.0,3349.5
2022-05-19 08:01:21.600,3334.0,3350.0,1328,3350.0,3348.5
2022-05-19 08:01:21.990,3334.0,3350.0,1331,3350.5,3348.5
2022-05-19 08:01:23.128,3334.0,3350.0,1331,3350.5,3348.5
2022-05-19 08:01:23.608,3334.0,3348.5,1332,3350.0,3347.5
2022-05-19 08:01:24.125,3334.0,3349.5,1333,3350.0,3347.5
2022-05-19 08:01:24.646,3334.0,3347.5,1334,3349.5,3347.5
2022-05-19 08:01:25.124,3334.0,3347.5,1341,3350.0,3347.0
2022-05-19 08:01:25.427,3334.0,3347.5,1347,3349.0,3347.5
2022-05-19 08:01:26.020,3334.0,3347.5,1347,3349.0,3347.5
2022-05-19 08:01:26.571,3334.0,3347.5,1353,3347.5,3347.0
2022-05-19 08:01:27.046,3334.0,3347.0,1359,3347.5,3346.5
2022-05-19 08:01:27.654,3334.0,3347.5,1363,3347.5,3346.5
2022-05-19 08:01:28.121,3334.0,3347.5,1370,3348.5,3347.5
2022-05-19 08:01:28.594,3334.0,3347.5,1375,3347.5,3347.0
2022-05-19 08:01:29.079,3334.0,3347.5,1382,3349.5,3347.5
2022-05-19 08:01:29.504,3334.0,3347.5,1386,3349.0,3348.0
2022-05-19 08:01:30.104,3334.0,3347.5,1393,3349.0,3347.0
2022-05-19 08:01:30.649,3334.0,3347.0,1396,3347.0,3346.5
2022-05-19 08:01:31.131,3334.0,3346.5,1401,3346.5,3346.0
2022-05-19 08:01:31.485,3334.0,3347.0,1404,3346.5,3345.5
2022-05-19 08:01:32.143,3334.0,3346.0,1411,3346.0,3345.0
2022-05-19 08:01:32.640,3334.0,3345.0,1412,3345.0,3344.0
2022-05-19 08:01:33.092,3334.0,3345.0,1412,3345.0,3344.0
2022-05-19 08:01:33.563,3334.0,3344.0,1416,3345.0,3343.0
2022-05-19 08:01:33.957,3334.0,3345.0,1417,3345.0,3343.0
2022-05-19 08:01:34.624,3334.0,3343.5,1420,3345.0,3343.5
2022-05-19 08:01:35.032,3334.0,3344.5,1422,3345.0,3343.5
2022-05-19 08:01:35.568,3334.0,3343.5,1423,3344.5,3344.0
2022-05-19 08:01:36.143,3334.0,3345.0,1429,3346.0,3345.0
2022-05-19 08:01:36.485,3334.0,3345.0,1429,3346.0,3345.0
2022-05-19 08:01:37.080,3334.0,3345.5,1432,3346.0,3345.0
2022-05-19 08:01:37.598,3334.0,3345.0,1433,3345.5,3344.5
2022-05-19 08:01:38.129,3334.0,3345.0,1433,3345.0,3344.5
2022-05-19 08:01:38.432,3334.0,3346.0,1439,3346.0,3344.5
2022-05-19 08:01:39.092,3334.0,3345.5,1443,3345.5,3344.5
2022-05-19 08:01:39.427,3334.0,3345.5,1443,3345.0,3344.5
2022-05-19 08:01:39.944,3334.0,3345.0,1445,3346.0,3345.0
2022-05-19 08:01:40.569,3334.0,3344.0,1450,3345.5,3344.0
2022-05-19 08:01:41.131,3334.0,3344.0,1452,3346.0,3343.5
2022-05-19 08:01:41.586,3334.0,3344.5,1454,3344.5,3343.5
2022-05-19 08:01:42.616,3334.0,3344.5,1455,3344.5,3343.5
2022-05-19 08:01:42.925,3334.0,3344.0,1456,3344.5,3343.5
2022-05-19 08:01:43.584,3334.0,3344.5,1458,3344.5,3343.5
2022-05-19 08:01:44.147,3334.0,3343.5,1461,3345.5,3343.5
2022-05-19 08:01:44.519,3334.0,3343.5,1462,3345.0,3344.5
2022-05-19 08:01:45.136,3334.0,3344.5,1466,3345.0,3344.5
2022-05-19 08:01:45.619,3334.0,3345.0,1471,3344.0,3343.5
2022-05-19 08:01:46.123,3334.0,3344.0,1473,3345.0,3344.0
2022-05-19 08:01:46.647,3334.0,3344.0,1473,3344.0,3343.5
2022-05-19 08:01:46.925,3334.0,3344.0,1473,3344.0,3343.5
2022-05-19 08:01:47.561,3334.0,3344.0,1474,3344.5,3344.0
2022-05-19 08:01:48.102,3334.0,3345.0,1480,3345.5,3344.5
2022-05-19 08:01:48.561,3334.0,3344.0,1486,3344.5,3344.0
2022-05-19 08:01:49.039,3334.0,3344.5,1491,3345.5,3344.0
2022-05-19 08:01:49.609,3334.0,3344.0,1496,3345.0,3343.5
2022-05-19 08:01:50.101,3334.0,3344.0,1496,3344.5,3343.5
2022-05-19 08:01:50.456,3334.0,3344.0,1496,3344.0,3343.5
2022-05-19 08:01:51.126,3334.0,3345.0,1501,3345.0,3344.0
2022-05-19 08:01:51.585,3334.0,3344.0,1502,3345.0,3344.0
2022-05-19 08:01:52.148,3334.0,3345.0,1504,3345.0,3344.0
2022-05-19 08:01:52.652,3334.0,3345.0,1505,3345.5,3345.0
2022-05-19 08:01:53.003,3334.0,3345.0,1507,3345.5,3345.0
2022-05-19 08:01:53.612,3334.0,3345.5,1508,3345.5,3345.0
2022-05-19 08:01:53.933,3334.0,3345.5,1508,3345.5,3345.0
2022-05-19 08:01:54.426,3334.0,3345.0,1509,3345.5,3345.0
2022-05-19 08:01:55.322,3334.0,3345.0,1509,3345.5,3345.0
2022-05-19 08:01:56.073,3334.0,3345.0,1512,3345.5,3345.0
2022-05-19 08:01:56.510,3334.0,3345.5,1516,3345.5,3345.0
2022-05-19 08:01:57.497,3334.0,3345.0,1519,3345.0,3344.5
2022-05-19 08:01:58.261,3334.0,3345.0,1520,3345.0,3344.5
2022-05-19 08:01:59.572,3334.0,3345.0,1523,3345.0,3344.0
2022-05-19 08:02:00.132,3334.0,3345.0,1524,3345.0,3344.0
